length1,length2,exact_match,token_edit_distance,normalized_edit_distance,digit_accuracy
1,1,1.0,0.0,0.0,1.0
1,2,1.0,0.0,0.0,1.0
1,3,1.0,0.0,0.0,1.0
1,4,1.0,0.0,0.0,1.0
1,5,1.0,0.0,0.0,1.0
1,6,1.0,0.0,0.0,1.0
1,7,1.0,0.0,0.0,1.0
1,8,1.0,0.0,0.0,1.0
1,9,1.0,0.0,0.0,1.0
1,10,1.0,0.0,0.0,1.0
1,11,1.0,0.0,0.0,1.0
1,12,1.0,0.0,0.0,1.0
1,13,1.0,0.0,0.0,1.0
1,14,1.0,0.0,0.0,1.0
1,15,1.0,0.0,0.0,1.0
1,16,1.0,0.0,0.0,1.0
1,17,1.0,0.0,0.0,1.0
1,18,1.0,0.0,0.0,1.0
1,19,1.0,0.0,0.0,1.0
1,20,1.0,0.0,0.0,1.0
2,1,1.0,0.0,0.0,1.0
2,2,1.0,0.0,0.0,1.0
2,3,1.0,0.0,0.0,1.0
2,4,1.0,0.0,0.0,1.0
2,5,1.0,0.0,0.0,1.0
2,6,1.0,0.0,0.0,1.0
2,7,1.0,0.0,0.0,1.0
2,8,1.0,0.0,0.0,1.0
2,9,1.0,0.0,0.0,1.0
2,10,1.0,0.0,0.0,1.0
2,11,1.0,0.0,0.0,1.0
2,12,1.0,0.0,0.0,1.0
2,13,1.0,0.0,0.0,1.0
2,14,1.0,0.0,0.0,1.0
2,15,1.0,0.0,0.0,1.0
2,16,1.0,0.0,0.0,1.0
2,17,1.0,0.0,0.0,1.0
2,18,1.0,0.0,0.0,1.0
2,19,1.0,0.0,0.0,1.0
2,20,1.0,0.0,0.0,1.0
3,1,1.0,0.0,0.0,1.0
3,2,1.0,0.0,0.0,1.0
3,3,1.0,0.0,0.0,1.0
3,4,1.0,0.0,0.0,1.0
3,5,1.0,0.0,0.0,1.0
3,6,1.0,0.0,0.0,1.0
3,7,1.0,0.0,0.0,1.0
3,8,1.0,0.0,0.0,1.0
3,9,1.0,0.0,0.0,1.0
3,10,1.0,0.0,0.0,1.0
3,11,1.0,0.0,0.0,1.0
3,12,1.0,0.0,0.0,1.0
3,13,1.0,0.0,0.0,1.0
3,14,1.0,0.0,0.0,1.0
3,15,1.0,0.0,0.0,1.0
3,16,1.0,0.0,0.0,1.0
3,17,1.0,0.0,0.0,1.0
3,18,1.0,0.0,0.0,1.0
3,19,1.0,0.0,0.0,1.0
3,20,1.0,0.0,0.0,1.0
4,1,1.0,0.0,0.0,1.0
4,2,1.0,0.0,0.0,1.0
4,3,1.0,0.0,0.0,1.0
4,4,1.0,0.0,0.0,1.0
4,5,1.0,0.0,0.0,1.0
4,6,1.0,0.0,0.0,1.0
4,7,1.0,0.0,0.0,1.0
4,8,1.0,0.0,0.0,1.0
4,9,1.0,0.0,0.0,1.0
4,10,1.0,0.0,0.0,1.0
4,11,1.0,0.0,0.0,1.0
4,12,1.0,0.0,0.0,1.0
4,13,1.0,0.0,0.0,1.0
4,14,1.0,0.0,0.0,1.0
4,15,1.0,0.0,0.0,1.0
4,16,1.0,0.0,0.0,1.0
4,17,1.0,0.0,0.0,1.0
4,18,1.0,0.0,0.0,1.0
4,19,1.0,0.0,0.0,1.0
4,20,1.0,0.0,0.0,1.0
5,1,1.0,0.0,0.0,1.0
5,2,1.0,0.0,0.0,1.0
5,3,1.0,0.0,0.0,1.0
5,4,1.0,0.0,0.0,1.0
5,5,1.0,0.0,0.0,1.0
5,6,1.0,0.0,0.0,1.0
5,7,1.0,0.0,0.0,1.0
5,8,1.0,0.0,0.0,1.0
5,9,1.0,0.0,0.0,1.0
5,10,1.0,0.0,0.0,1.0
5,11,1.0,0.0,0.0,1.0
5,12,1.0,0.0,0.0,1.0
5,13,1.0,0.0,0.0,1.0
5,14,1.0,0.0,0.0,1.0
5,15,1.0,0.0,0.0,1.0
5,16,1.0,0.0,0.0,1.0
5,17,1.0,0.0,0.0,1.0
5,18,1.0,0.0,0.0,1.0
5,19,1.0,0.0,0.0,1.0
5,20,1.0,0.0,0.0,1.0
6,1,1.0,0.0,0.0,1.0
6,2,1.0,0.0,0.0,1.0
6,3,1.0,0.0,0.0,1.0
6,4,0.99,0.01,0.0016666666666666666,0.9983333333333334
6,5,1.0,0.0,0.0,1.0
6,6,1.0,0.0,0.0,1.0
6,7,1.0,0.0,0.0,1.0
6,8,1.0,0.0,0.0,1.0
6,9,1.0,0.0,0.0,1.0
6,10,1.0,0.0,0.0,1.0
6,11,1.0,0.0,0.0,1.0
6,12,1.0,0.0,0.0,1.0
6,13,1.0,0.0,0.0,1.0
6,14,1.0,0.0,0.0,1.0
6,15,1.0,0.0,0.0,1.0
6,16,1.0,0.0,0.0,1.0
6,17,1.0,0.0,0.0,1.0
6,18,1.0,0.0,0.0,1.0
6,19,1.0,0.0,0.0,1.0
6,20,1.0,0.0,0.0,1.0
7,1,1.0,0.0,0.0,1.0
7,2,1.0,0.0,0.0,1.0
7,3,1.0,0.0,0.0,1.0
7,4,0.99,0.01,0.0014285714285714286,0.9985714285714287
7,5,1.0,0.0,0.0,1.0
7,6,1.0,0.0,0.0,1.0
7,7,1.0,0.0,0.0,1.0
7,8,1.0,0.0,0.0,1.0
7,9,1.0,0.0,0.0,1.0
7,10,1.0,0.0,0.0,1.0
7,11,1.0,0.0,0.0,1.0
7,12,1.0,0.0,0.0,1.0
7,13,1.0,0.0,0.0,1.0
7,14,1.0,0.0,0.0,1.0
7,15,1.0,0.0,0.0,1.0
7,16,1.0,0.0,0.0,1.0
7,17,1.0,0.0,0.0,1.0
7,18,1.0,0.0,0.0,1.0
7,19,1.0,0.0,0.0,1.0
7,20,1.0,0.0,0.0,1.0
8,1,1.0,0.0,0.0,1.0
8,2,1.0,0.0,0.0,1.0
8,3,1.0,0.0,0.0,1.0
8,4,1.0,0.0,0.0,1.0
8,5,1.0,0.0,0.0,1.0
8,6,1.0,0.0,0.0,1.0
8,7,1.0,0.0,0.0,1.0
8,8,1.0,0.0,0.0,1.0
8,9,1.0,0.0,0.0,1.0
8,10,1.0,0.0,0.0,1.0
8,11,1.0,0.0,0.0,1.0
8,12,1.0,0.0,0.0,1.0
